ID,time,code,total,man15~19,man20~24,man25~29,man30~34,man35~39,man40~44,woman15~19,woman20~24,woman25~29,woman30~34,woman35~39,woman40~44,mztotal
20210905,2,11290,426982.1292,12420.4554,15442.7537,15827.0096,13186.1213,15696.0846,15115.4355,13011.9883,21057.1147,15940.6714,13983.9437,17443.7571,15923.1038,185048.4391
20210905,2,11305,313535.1172,7665.211,9315.2862,10903.6723,9529.6912,11482.5192,11247.3759,7195.1301,11742.9516,11006.8042,9375.9153,11391.1294,10415.8396,121271.526
20210905,2,11320,290650.008,7583.2061,7934.3401,9417.1753,8613.6606,10935.5137,9960.1828,6983.0947,9252.461,9987.7041,8986.1569,10466.7863,9735.33,109855.6116
20210905,2,11350,529490.8528,19029.5264,18646.075,16206.8563,14622.6015,17564.0958,17953.8698,17264.5738,19418.905,16043.8097,15798.2206,18806.9544,19783.0973,211138.5856
20210905,2,11380,464981.6112,12386.7798,12506.3089,15303.7602,15299.6637,18686.2811,17832.7573,12229.1524,15382.2945,17655.0107,17469.0713,20785.0143,18342.2821,193878.3763
20210905,2,11410,345096.8878,8239.1043,12225.0719,14439.2729,12093.6225,14100.6538,12885.0117,10267.1238,19141.3473,16124.4199,13430.1557,15012.7845,12659.2758,160617.8441
20210905,2,11440,402276.2234,9460.4451,13572.346,17797.9182,16914.3254,19971.7734,16849.8553,10082.8519,19846.2203,21779.5098,19695.3447,21057.8442,17209.6672,204238.1015
20210905,2,11470,393320.9505,14924.6069,10069.5958,11795.094,11181.2461,14366.9415,14905.6895,13082.3071,11540.4001,12324.1517,12156.3193,15365.6123,16827.4783,158539.4426
20210905,2,11500,544407.5894,12680.1677,13634.6845,21462.3171,23961.2334,26250.4471,22427.0205,12477.9864,17823.4923,25198.0658,25068.8153,25534.3979,21553.9155,248072.5435
20210905,2,11530,380602.1649,8388.5835,9407.7212,13698.644,15244.0041,17913.4758,16354.1632,8333.5823,11575.1551,14041.2525,14723.6777,16802.0382,14822.8247,161305.1223
20210905,2,11545,197740.5395,3588.9119,5788.3732,9851.66,9584.6847,10213.6737,8174.2684,3512.5638,6787.3848,9115.2791,8576.8639,8339.5978,6864.5162,90397.7775
20210905,2,11560,401987.7025,7922.4911,10534.6391,17846.6982,20002.4178,21601.2127,17351.3724,7275.2822,13564.151,19802.347,19784.0959,20056.1322,15425.5321,191166.3717
20210905,2,11590,393165.9025,9024.8332,14028.9215,19169.8207,16794.4889,16726.2812,14690.7575,9235.7965,17486.1067,18307.0582,15901.758,16709.704,14611.9849,182687.5113
20210905,2,11620,493957.1913,10368.7244,21136.3448,35240.0455,28223.4521,23337.035,18643.3483,10014.4658,25830.2297,32314.4143,22715.2371,19641.0706,16045.0175,263509.3851
20210905,2,11650,453476.6273,14004.906,11816.6204,14008.1851,15317.4471,19052.4629,20466.3561,13593.3121,13859.5206,15352.3127,16683.7512,21605.7417,21782.7362,197543.3521
